Channel,Package,Position,Satellite,Language,Resolution,Encryption,Genre,Type
RTG,,117° W,EUTELSAT 117 West A,Spanish,HD,Free-to-air,,TV
Claro Sports,,117° W,EUTELSAT 117 West A,Spanish,HD,Free-to-air,Sports,TV
Canal Claro,,117° W,EUTELSAT 117 West A,Spanish,HD,Free-to-air,Promo,TV
Nuestra Vision,,117° W,EUTELSAT 117 West A,Spanish,HD,Free-to-air,Sports,TV
Telemicro Internacional,,117° W,EUTELSAT 117 West A,Spanish,HD,Free-to-air,,TV
Teleuniverso,,117° W,EUTELSAT 117 West A,Spanish,HD,Free-to-air,,TV
Inti TV,,117° W,EUTELSAT 117 West A,Spanish,HD,Free-to-air,,TV
El Financiero Bloomberg,,117° W,EUTELSAT 117 West A,Spanish|English,HD,Free-to-air,Business,TV
Revival,,117° W,EUTELSAT 117 West A,English,HD,Free-to-air,Religious,TV
NRB TV,,117° W,EUTELSAT 117 West A,English,HD,Free-to-air,Religious,TV
God TV US,,117° W,EUTELSAT 117 West A,English,HD,Free-to-air,Religious,TV
CBN News,,117° W,EUTELSAT 117 West A,English,HD,Free-to-air,News,TV
CBN Family,,117° W,EUTELSAT 117 West A,English,HD,Free-to-air,,TV
Inspiration TV,,117° W,EUTELSAT 117 West A,English,HD,Free-to-air,Religious,TV
Living Faith TV,,117° W,EUTELSAT 117 West A,English,HD,Free-to-air,Religious,TV
GEB,,117° W,EUTELSAT 117 West A,English,HD,Free-to-air,Religious,TV
Faith USA,,117° W,EUTELSAT 117 West A,English,HD,Free-to-air,Religious,TV
Real America's Voice,,117° W,EUTELSAT 117 West A,English,HD,Free-to-air,News,TV
Heartland East,,117° W,EUTELSAT 117 West A,English,HD,Free-to-air,,TV
Hunt Channel,,117° W,EUTELSAT 117 West A,English,HD,Free-to-air,,TV
One America News Network,,117° W,EUTELSAT 117 West A,English,HD,Free-to-air,News,TV
AWE,,117° W,EUTELSAT 117 West A,English,HD,Free-to-air,,TV
TV Cosmos 15.1,,117° W,EUTELSAT 117 West A,Spanish,HD,Free-to-air,,TV
BYU TV,,117° W,EUTELSAT 117 West A,English,HD,Free-to-air,Religious,TV
Cine Mexicano,,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,Films,TV
Cinema Platino,,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,Films,TV
Cinema Platino 2,,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,Films,TV
TVC Delay,,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,,TV
Video Rola,,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,Music,TV
Excélsior TV,,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,,TV
AMC México,,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,Films,TV
Más Chic Lationamérica,,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,Shopping,TV
El Gourmet Norte,,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,,TV
Film & Arts América Latina,,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,General,TV
TVC Deportes 2,,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,Sports,TV
Mega Sports,,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,Sports,TV
NBA TV Latin America,,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,Sports,TV
Pasiones Latinoamérica,,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,,TV
Hola! TV América Latina,,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,Fashion,TV
Beat Box,,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,Music,TV
