channelid,channel_category,trackers
7_1389_1887_0_1089_12006_1,"{'General', 'Music', 'Children'}",40
7_1407_1936_0_1201_28310_1,{'General'},26
7_1500_2829_0_1025_10329_1,{'General'},29
7_1550_2996_0_1201_28307_1,{'General'},44
7_1556_3010_0_5_764_133,{'General'},52
7_90_744_0_1073_28205_1,{'General'},48
7_16_642_0_1019_10302_1,"{'Music', 'Education', 'Culture'}",159
7_1558_2934_0_7_775_133,{'Shopping'},24
7_1534_2955_0_1089_12060_1,"{'General', 'Music'}",43
7_1566_3145_0_1021_28338_1,{'General'},35
7_1424_2109_0_1021_28341_1,{'General'},46
7_1525_2917_0_1073_28221_1,{None},61
7_78_709_0_1101_28113_1,{'General'},36
7_1424_2103_0_1021_28335_1,{'General'},36
7_90_746_0_1073_28221_1,{None},43
